path,class,risk,invariant,n_distinct,n_present,val_glider,val_ultralight,val_ga_single,val_jet,val_electric
"_blad/0/_geo_xyz/0,16,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,16,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,17,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,17,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,17,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,2,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,2,1",FLIGHT,,False,4,4,,-0.042369675,0.059401281,0.000333333,-0.263064176
"_blad/0/_geo_xyz/0,2,2",FLIGHT,,False,4,4,,0.020828959,-0.049964871,-0.001250000,-0.203513533
"_blad/0/_geo_xyz/0,3,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,3,1",FLIGHT,,False,4,4,,-0.003677480,0.020478800,0.000416667,-0.234658167
"_blad/0/_geo_xyz/0,3,2",FLIGHT,,False,4,4,,0.035790261,0.014339413,0.000000000,0.102968290
"_blad/0/_geo_xyz/0,4,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,4,1",FLIGHT,,False,4,4,,0.057575732,-0.036878850,0.000416667,-0.095029593
"_blad/0/_geo_xyz/0,4,2",FLIGHT,,False,4,4,,0.044950917,0.096254610,0.001666667,0.496400803
"_blad/0/_geo_xyz/0,5,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,5,1",FLIGHT,,False,4,4,,0.129497275,-0.134085581,0.000189394,0.123445623
"_blad/0/_geo_xyz/0,5,2",FLIGHT,,False,4,4,,0.048400611,0.211305916,0.004166667,0.952499807
"_blad/0/_geo_xyz/0,6,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,6,1",FLIGHT,,False,4,4,,0.199648231,-0.215091199,0.000000000,0.334410518
"_blad/0/_geo_xyz/0,6,2",FLIGHT,,False,4,4,,0.051765375,0.307182014,0.006250001,1.392919898
"_blad/0/_geo_xyz/0,7,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,7,1",FLIGHT,,False,4,4,,0.199648231,-0.215091199,0.000000000,0.334410518
"_blad/0/_geo_xyz/0,7,2",FLIGHT,,False,4,4,,0.051765375,0.307182014,0.006250001,1.392919898
"_blad/0/_geo_xyz/0,8,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,8,1",FLIGHT,,False,4,4,,0.134909540,-0.152702674,-0.000189394,0.258762836
"_blad/0/_geo_xyz/0,8,2",FLIGHT,,False,4,4,,0.027526665,0.198270082,0.004166667,0.920013011
"_blad/0/_geo_xyz/0,9,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,9,1",FLIGHT,,False,4,4,,0.067311995,-0.077836454,-0.000416667,0.183115184
"_blad/0/_geo_xyz/0,9,2",FLIGHT,,False,4,4,,0.002217571,0.067575790,0.001666667,0.447106183
"_blad/0/_geo_xyz/1,0,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000000,0.651538074
"_blad/0/_geo_xyz/1,0,1",FLIGHT,,False,4,4,,-0.066248380,0.068112209,0.000000000,-0.104450114
"_blad/0/_geo_xyz/1,0,2",FLIGHT,,False,4,4,,-0.079460077,-0.097274296,-0.002083333,-0.435065985
"_blad/0/_geo_xyz/1,1,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.009999985,0.651538074
"_blad/0/_geo_xyz/1,1,1",FLIGHT,,False,4,4,,-0.064736575,0.067720689,0.000166667,-0.188796580
